tweet_id,retweet_count,favorite_count
892420643555336193,8636,38954
892177421306343426,6345,33352
891689557279858688,8756,42296
891327558926688256,9518,40452
891087950875897856,3155,20291
890971913173991426,2101,11898
890609185150312448,4319,27866
890240255349198849,7516,32051
890006608113172480,7436,30763
889880896479866881,5028,27892
889665388333682689,10188,48275
889638837579907072,4599,27278
889531135344209921,2262,15139
889278841981685760,5501,25388
888917238123831296,4562,29193
888804989199671297,4397,25693
888554962724278272,3632,20003
888202515573088257,Not Exist,Not Exist
888078434458587136,3544,21851
887705289381826560,5464,30303
887517139158093824,11806,46411
887473957103951883,18455,69373
887343217045368832,10534,33816
886983233522544640,7863,35288
886736880519319552,3340,12123
886680336477933568,4528,22519
886366144734445568,3225,21198
886258384151887873,6378,28069
886054160059072513,105,0
885984800019947520,6898,32836
885518971528720385,3811,20500
885311592912609280,18801,0
885167619883638784,4437,22026
884925521741709313,18684,77805
884876753390489601,5871,28045
884562892145688576,4937,24399
884441805382717440,5727,27097
884247878851493888,20689,73299
884162670584377345,3031,20465
883838122936631299,3497,21991
883482846933004288,10100,46130
883360690899218434,3734,22640
883117836046086144,6763,37368
882992080364220416,3984,24038
882762694511734784,4992,28433
891815181378084864,4211,25129
890729181411237888,19148,65801
887101392804085760,6038,30674
886267009285017600,4,116
885528943205470208,6523,36143
882627270321602560,6174,27977
882268110199369728,11771,45143
882045870035918850,5053,29490
881666595344535552,10829,50755
881536004380872706,16197,49650
881268444196462592,5221,23152
880872448815771648,3873,21383
880465832366813184,6377,28643
880221127280381952,4293,27182
880095782870896641,4420,27739
879862464715927552,3552,22389
879674319642796034,10,313
879492040517615616,3234,23505
879415818425184262,44813,106311
879376492567855104,3161,16840
879130579576475649,6955,0
879050749262655488,4783,22688
879008229531029506,2735,19042
878776093423087618,4190,19461
878604707211726852,7359,30407
878404777348136964,1314,0
878316110768087041,6770,0
878281511006478336,1314,7794
878057613040115712,6955,42237
877736472329191424,19486,80290
877611172832227328,81,0
877556246731214848,3893,22881
877316821321428993,5268,27480
877201837425926144,5695,27274
876838120628539392,3420,20781
876537666061221889,4689,23551
876120275196170240,4778,28058
875747767867523072,4372,25327
875144289856114688,5014,22031
875097192612077568,6160,27561
875021211251597312,4798,25621
874434818259525634,15083,0
874296783580663808,4197,26215
874057562936811520,4031,22784
874012996292530176,10685,34903
873697596434513921,Not Exist,Not Exist
873580283840344065,4033,24412
873337748698140672,1623,0
873213775632977920,1623,7322
872967104147763200,5516,27577
881906580714921986,3440,24390
881633300179243008,7,127
880935762899988482,2818,17077
876484053909872640,2449,18861
874680097055178752,4731,28022
872820683541237760,3779,14824
872668790621863937,29,0
872620804844003328,3796,20965
872486979161796608,9219,41026
872261713294495745,6482,34530
872122724285648897,8324,34759
871879754684805121,11522,38420
871762521631449091,3568,20460
871515927908634625,3540,20420
871166179821445120,5830,0
871102520638267392,5630,21141
871032628920680449,3901,22898
870804317367881728,6396,34033
870726314365509632,3,120
870656317836468226,2729,12592
870374049280663552,27000,83668
870308999962521604,4273,22100
870063196459192321,8610,37154
869988702071779329,Not Exist,Not Exist
869772420881756160,10366,42983
869702957897576449,6529,28643
869227993411051520,3919,20752
868880397819494401,14994,66653
868639477480148993,2173,0
868622495443632128,5968,27826
868552278524837888,2173,10345
867900495410671616,4327,24586
867774946302451713,7591,34576
867421006826221569,2617,16465
867072653475098625,131,0
867051520902168576,8187,32850
866816280283807744,Not Exist,Not Exist
866720684873056260,5025,20510
866686824827068416,3628,19743
866450705531457537,36662,124640
866334964761202691,15083,53745
866094527597207552,8709,0
865359393868664832,5226,27074
865006731092295680,8011,28629
864873206498414592,9124,33072
864279568663928832,3187,14954
864197398364647424,9372,30903
863907417377173506,4333,21124
863553081350529029,4362,15656
863471782782697472,2598,0
863432100342583297,5529,24388
863427515083354112,101,2316
863079547188785154,1154,8970
863062471531167744,2598,8775
862831371563274240,5318,19681
862722525377298433,3707,17514
862457590147678208,5219,21104
862096992088072192,24463,76641
861769973181624320,Not Exist,Not Exist
861288531465048066,4382,17688
860981674716409858,2271,0
860924035999428608,858,0
860563773140209665,2271,7725
860524505164394496,5552,24314
860276583193509888,3657,18846
860184849394610176,6155,17186
859924526012018688,4315,20129
859851578198683649,3694,15856
859607811541651456,1659,19159
859196978902773760,31953,92777
859074603037188101,14381,34981
858860390427611136,8585,0
858843525470990336,3672,16045
858471635011153920,5119,22224
858107933456039936,3084,16246
857989990357356544,2736,16663
857746408056729600,11238,35427
857393404942143489,1728,6124
857214891891077121,20,238
857062103051644929,179,0
857029823797047296,4256,19590
856602993587888130,11336,0
856543823941562368,3064,16872
856526610513747968,2006,12255
856330835276025856,720,0
856288084350160898,17,534
855862651834028034,28,363
855857698524602368,2253,12275
855818117272018944,5807,27609
855459453768019968,8790,31147
855245323840757760,6374,0
855138241867124737,49,0
854732716440526848,6528,23778
